date,tweets
04-13-2013,17
04-14-2013,53
04-15-2013,14
04-16-2013,29
04-17-2013,50
04-18-2013,17
04-19-2013,25
04-20-2013,19
04-21-2013,44
04-22-2013,34
04-23-2013,22
04-24-2013,58
04-25-2013,46
04-26-2013,49
04-27-2013,11
04-28-2013,29
04-29-2013,46
04-30-2013,28
05-01-2013,39
05-02-2013,20
05-03-2013,16
05-05-2013,2
05-06-2013,9
05-07-2013,40
05-08-2013,35
05-09-2013,6
05-10-2013,21
05-11-2013,20
05-12-2013,19
05-13-2013,11
05-14-2013,7
05-15-2013,16
05-16-2013,35
05-17-2013,22
05-18-2013,7
05-19-2013,25
05-20-2013,42
05-21-2013,9
05-22-2013,48
05-23-2013,18
05-24-2013,75
05-25-2013,66
05-26-2013,5
05-27-2013,31
05-28-2013,34
05-29-2013,38
05-30-2013,36
05-31-2013,10
06-02-2013,8
06-03-2013,30
06-04-2013,17
06-05-2013,42
06-06-2013,4
06-07-2013,7
06-08-2013,1
06-10-2013,16
06-11-2013,26
06-12-2013,44
06-13-2013,12
06-14-2013,13
06-15-2013,16
06-16-2013,2
06-17-2013,12
06-18-2013,26
06-19-2013,7
06-20-2013,20
06-21-2013,12
06-22-2013,5
06-23-2013,1
06-24-2013,15
06-25-2013,37
06-26-2013,19
06-27-2013,23
06-28-2013,12
06-29-2013,32
06-30-2013,21
07-01-2013,21
07-02-2013,15
07-03-2013,43
07-04-2013,10
07-05-2013,35
07-06-2013,29
07-07-2013,9
07-08-2013,37
07-09-2013,29
07-10-2013,44
07-11-2013,8
07-12-2013,35
07-13-2013,46
07-14-2013,15
07-15-2013,16
07-16-2013,50
07-17-2013,43
07-18-2013,32
07-19-2013,21
07-20-2013,9
07-21-2013,8
07-22-2013,8
07-23-2013,100
07-24-2013,50
07-25-2013,13
07-26-2013,20
07-27-2013,11
07-28-2013,23
07-29-2013,23
07-30-2013,13
07-31-2013,36
08-01-2013,44
08-02-2013,19
08-03-2013,1
08-04-2013,9
08-05-2013,30
08-06-2013,23
08-07-2013,25
08-08-2013,26
08-09-2013,29
08-10-2013,4
08-11-2013,21
08-12-2013,38
08-13-2013,36
08-14-2013,16
08-15-2013,49
08-16-2013,15
08-17-2013,10
08-18-2013,14
08-19-2013,16
08-20-2013,35
08-21-2013,35
08-22-2013,26
08-23-2013,3
08-24-2013,11
08-25-2013,17
08-26-2013,18
08-27-2013,10
08-28-2013,48
08-29-2013,40
08-30-2013,26
08-31-2013,17
09-01-2013,22
09-02-2013,24
09-03-2013,25
09-04-2013,33
09-05-2013,35
09-06-2013,19
09-07-2013,43
09-08-2013,22
09-09-2013,24
09-10-2013,76
09-11-2013,34
09-12-2013,22
09-13-2013,19
09-14-2013,20
09-15-2013,5
09-16-2013,11
09-17-2013,19
09-18-2013,22
09-19-2013,18
09-20-2013,27
09-21-2013,21
09-22-2013,19
09-23-2013,15
09-24-2013,15
09-25-2013,10
09-26-2013,28
09-27-2013,19
09-28-2013,3
09-29-2013,5
09-30-2013,17
10-01-2013,20
10-02-2013,23
10-03-2013,22
10-04-2013,20
10-05-2013,1
10-06-2013,1
10-07-2013,17
10-08-2013,18
10-09-2013,16
10-10-2013,22
10-11-2013,47
10-12-2013,1
10-13-2013,5
10-14-2013,24
10-15-2013,6
10-16-2013,13
10-17-2013,37
10-18-2013,51
10-19-2013,17
10-20-2013,12
10-21-2013,19
10-22-2013,8
10-23-2013,18
10-24-2013,21
10-25-2013,1
10-26-2013,18
10-27-2013,33
10-28-2013,16
10-29-2013,18
10-30-2013,14
10-31-2013,20
11-01-2013,6
11-02-2013,2
11-03-2013,10
11-04-2013,19
11-05-2013,17
11-06-2013,20
11-07-2013,15
11-08-2013,4
11-09-2013,8
11-10-2013,13
11-11-2013,10
11-12-2013,13
11-13-2013,10
11-14-2013,15
11-15-2013,18
11-16-2013,8
11-17-2013,5
11-18-2013,9
11-19-2013,19
11-20-2013,20
11-21-2013,14
11-22-2013,11
11-23-2013,7
11-24-2013,9
11-25-2013,13
11-26-2013,16
11-27-2013,22
11-28-2013,8
11-29-2013,9
11-30-2013,26
12-02-2013,22
12-03-2013,23
12-04-2013,8
12-05-2013,10
12-06-2013,20
12-07-2013,9
12-08-2013,7
12-09-2013,16
12-10-2013,34
12-11-2013,8
12-12-2013,12
12-13-2013,18
12-14-2013,4
12-15-2013,3
12-16-2013,8
12-17-2013,20
12-18-2013,7
12-19-2013,27
12-20-2013,19
12-21-2013,15
12-22-2013,7
12-23-2013,15
12-24-2013,18
12-25-2013,3
12-26-2013,4
12-27-2013,3
12-28-2013,9
12-29-2013,2
12-30-2013,11
12-31-2013,6
01-01-2014,12
01-02-2014,6
01-03-2014,10
01-05-2014,1
01-06-2014,11
01-07-2014,7
01-08-2014,27
01-09-2014,22
01-10-2014,14
01-11-2014,10
01-12-2014,11
01-13-2014,24
01-14-2014,27
01-15-2014,22
01-16-2014,12
01-17-2014,19
01-19-2014,11
01-20-2014,10
01-21-2014,1
01-22-2014,5
01-23-2014,4
01-24-2014,7
01-25-2014,4
01-26-2014,2
01-27-2014,8
01-28-2014,13
01-29-2014,27
01-30-2014,9
01-31-2014,22
02-01-2014,2
02-02-2014,5
02-03-2014,9
02-04-2014,9
02-05-2014,9
02-06-2014,4
02-08-2014,2
02-10-2014,12
02-11-2014,1
02-12-2014,10
02-13-2014,18
02-14-2014,19
02-15-2014,8
02-16-2014,8
02-17-2014,8
02-18-2014,12
02-19-2014,29
02-20-2014,26
02-21-2014,10
02-22-2014,8
02-23-2014,12
02-24-2014,11
02-25-2014,23
02-26-2014,13
02-27-2014,9
02-28-2014,9
03-01-2014,7
03-02-2014,53
03-03-2014,11
03-04-2014,11
03-05-2014,7
03-06-2014,11
03-07-2014,4
03-08-2014,10
03-10-2014,7
03-11-2014,17
03-12-2014,9
03-13-2014,12
03-14-2014,12
03-15-2014,4
03-16-2014,3
03-17-2014,16
03-18-2014,6
03-19-2014,28
03-20-2014,7
03-21-2014,7
03-22-2014,2
03-24-2014,9
03-25-2014,5
03-26-2014,11
03-27-2014,46
03-28-2014,17
03-29-2014,19
03-30-2014,12
03-31-2014,14
04-01-2014,20
04-02-2014,7
04-03-2014,9
04-04-2014,24
04-05-2014,35
04-06-2014,7
04-07-2014,11
04-08-2014,9
04-09-2014,29
04-10-2014,17
04-11-2014,19
04-12-2014,8
04-13-2014,3
04-14-2014,19
04-15-2014,17
04-16-2014,16
04-17-2014,19
04-18-2014,44
04-19-2014,14
04-20-2014,23
04-21-2014,17
04-22-2014,36
04-23-2014,30
04-24-2014,25
04-25-2014,15
04-27-2014,3
04-28-2014,8
04-29-2014,26
05-01-2014,8
05-02-2014,51
05-03-2014,18
05-04-2014,2
05-05-2014,39
05-06-2014,4
05-07-2014,13
05-08-2014,20
05-09-2014,12
05-10-2014,5
05-12-2014,8
05-13-2014,12
05-14-2014,5
05-15-2014,7
05-16-2014,16
05-17-2014,9
05-18-2014,14
05-19-2014,14
05-20-2014,6
05-21-2014,6
05-22-2014,10
05-23-2014,18
05-24-2014,1
05-25-2014,3
05-26-2014,8
05-27-2014,20
05-28-2014,8
05-29-2014,4
05-30-2014,14
05-31-2014,24
06-01-2014,26
06-02-2014,14
06-03-2014,22
06-04-2014,29
06-05-2014,7
06-06-2014,6
06-07-2014,6
06-08-2014,20
06-09-2014,24
06-10-2014,31
06-11-2014,15
06-12-2014,14
06-13-2014,44
06-14-2014,56
06-15-2014,51
06-16-2014,35
06-17-2014,81
06-18-2014,24
06-19-2014,28
06-20-2014,19
06-21-2014,28
06-22-2014,24
06-23-2014,26
06-24-2014,18
06-25-2014,14
06-26-2014,27
06-27-2014,11
06-28-2014,10
06-29-2014,14
06-30-2014,11
07-01-2014,25
07-02-2014,7
07-03-2014,15
07-04-2014,2
07-05-2014,8
07-06-2014,1
07-07-2014,22
07-08-2014,16
07-09-2014,46
07-10-2014,22
07-11-2014,20
07-12-2014,3
07-13-2014,10
07-14-2014,17
07-15-2014,19
